Visitor #,"Timestamp
GMT +9",Visitor Id,Repeat Visitor,"Number
of Visit","Visitor Name
(Premium)",Referrer,Keywords,Entrance Page,"Visit Duration (seconds)
(Premium)","Visit Depth
(Premium)","Conversions
(Premium)","Click Path
(Premium)",IP,Organization,Country,Region,City,Postal Code,Screen Size,Browser,OS,User Agent
845,Sep 27 2020 11:33:46 PM,X3CiyodHQMuAKsbiVx3UWwAAAAM,no,1,,https://m.ad.search.naver.com/search.naver?where=m_expd&query=반려견가족사진&referenceId=U3uhqlprvSsssDW7TIwssssssgG-500714,반려견가족사진,https://www.helldog-s.com/dog,33,1,,https://www.helldog-s.com/dog (33 seconds),223.33.164.26,SK Telecom,South Korea,Seoul,Seoul,2878,412x1005,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-F700N) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/12.1 Chrome/79.0.3945.136 Mobile Safari/537.36"
844,Sep 27 2020 11:30:42 PM,X3CiEcCP6iamMOMnPcUSDQAAAAM,no,1,,https://l.instagram.com,,https://www.helldog-s.com/grapher,26,1,,https://www.helldog-s.com/grapher (26 seconds),2001:4430:40d6:aa3e::290b:80a1,LG Uplus,South Korea,Seoul,Gwanak-gu,8841,412x846,Chrome,Android,"Mozilla/5.0 (Linux; Android 9; SM-N960N Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 Instagram 160.0.0.25.132 Android (28/9; 420dpi; 1080x2094; samsung; SM-N960N; crownlteks; samsu"
843,Sep 27 2020 11:23:01 PM,X3CgReVGi-K-b8REhE3KjQAAAAU,no,1,,https://www.linkedin.com,,https://www.helldog-s.com/product,2,1,,https://www.helldog-s.com/product (2 seconds),223.38.36.194,SK Telecom,South Korea,Seoul,Seoul,2878,414x896,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]"
842,Sep 27 2020 10:24:32 PM,X3CSj6YgO1sopKNL8hDKtAAAAAM,no,1,,https://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&oquery=홍대바디프로필&tqi=U3ue0sprvRGssZzPjRKssssssVR-043082&query=마포바디프로필,마포바디프로필,https://www.helldog-s.com/body,226,3,,https://www.helldog-s.com/body (182 seconds) > https://www.helldog-s.com/body?lightbox=dataItem-iskd2pgt (2 seconds) > https://www.helldog-s.com/seminude (43 seconds),2001:2d8:e510:7fce::554b:7401,SK Telecom,South Korea,Incheon,Incheon,21539,360x740,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-G960N) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/12.1 Chrome/79.0.3945.136 Mobile Safari/537.36"
841,Sep 27 2020 10:10:24 PM,X3CPPxyzI68N8JWvB0MJNgAAAAA,no,1,,https://l.instagram.com,,https://www.helldog-s.com/model-and-actor,159,4,,https://www.helldog-s.com/model-and-actor (86 seconds) > https://www.helldog-s.com/person (51 seconds) > https://www.helldog-s.com/bj (14 seconds) > https://www.helldog-s.com/musician (9 seconds),2001:4430:d006:a69::295:a5b,LG Uplus,South Korea,Gyeonggi-do,Seongnam-si,13332,412x869,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-G977N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 Instagram 160.0.0.25.132 Android (29/10; 280dpi; 720x1366; samsung; SM-G977N; beyondx; exynos9"
840,Sep 27 2020 09:11:48 PM,X3CBhCC-YjYKKWnNTKS8ZwAAAAI,no,1,,https://l.instagram.com,,https://www.helldog-s.com/dog,9,1,,https://www.helldog-s.com/dog (9 seconds),58.77.49.135,LG DACOM Corporation,South Korea,Seoul,Seongbuk-gu,2792,412x869,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-N976N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 Instagram 160.0.0.25.132 Android (29/10; 420dpi; 1080x2069; samsung; SM-N976N; d2x; exynos9825"
839,Sep 27 2020 08:41:05 PM,X3BstCZfdOLysAb8AvBmJwAAAAI,yes,2,,https://l.instagram.com,,https://www.helldog-s.com,14,1,,https://www.helldog-s.com (14 seconds),106.101.65.182,LG Uplus,South Korea,Seoul,Seoul,2878,412x869,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-N976N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 Instagram 160.0.0.25.132 Android (29/10; 420dpi; 1080x2156; samsung; SM-N976N; d2x; exynos9825"
838,Sep 27 2020 08:36:44 PM,X3B5TfL6iDFStMwpkOGUewAAAAE,no,1,,Direct Access,,https://www.helldog-s.com/model-and-actor,70,5,,https://www.helldog-s.com/model-and-actor (33 seconds) > https://www.helldog-s.com/ceo (6 seconds) > https://www.helldog-s.com/kids (6 seconds) > https://www.helldog-s.com/body (14 seconds) > https://www.helldog-s.com/seminude (13 seconds),175.124.166.70,SK Broadband,South Korea,Seoul,Gwanak-gu,8787,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 160.1.0.31.120 (iPhone11,2; iOS 13_7; ko-Kore_KR; ko-KR; scale=3.00; 1125x2436; 246979827)"
837,Sep 27 2020 07:43:00 PM,X3BstCZfdOLysAb8AvBmJwAAAAI,no,1,,https://l.instagram.com,,https://www.helldog-s.com/grapher,105,7,,https://www.helldog-s.com/grapher (7 seconds) > https://www.helldog-s.com (41 seconds) > https://www.helldog-s.com/grapher (18 seconds) > https://www.helldog-s.com (25 seconds) > https://www.helldog-s.com/grapher (1 seconds) > https://www.helldog-s.com/grapher (14 seconds) > https://www.helldog-s.com/grapher (2 seconds),222.112.92.15,Korea Telecom,South Korea,Seoul,Seoul,2878,412x869,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-N976N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 Instagram 160.0.0.25.132 Android (29/10; 420dpi; 1080x2156; samsung; SM-N976N; d2x; exynos9825"
836,Sep 27 2020 07:34:46 PM,X3BqxSa6PL6tnsieQ9pEDgAAAAQ,no,1,,https://l.instagram.com,,https://www.helldog-s.com,18,2,,https://www.helldog-s.com (6 seconds) > https://www.helldog-s.com/body (13 seconds),110.70.27.8,Korea Telecom,South Korea,Seoul,Seoul,2878,412x869,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-G975N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.99 Mobile Safari/537.36 Instagram 123.0.0.21.114 Android (29/10; 420dpi; 2047x1080; samsung; SM-G975N; beyond2; exynos9"
835,Sep 27 2020 07:29:33 PM,X3BpjKNhpamtLS@WIERn5AAAAAE,no,1,,Direct Access,,https://www.helldog-s.com/model-and-actor,25,1,,https://www.helldog-s.com/model-and-actor (25 seconds),118.34.156.148,Korea Telecom,South Korea,Gyeonggi-do,Suwon,16258,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 160.1.0.31.120 (iPhone12,3; iOS 14_0_1; ko-Kore_KR; ko-KR; scale=3.00; 1125x2436; 246979827)"
834,Sep 27 2020 07:13:39 PM,X3Bl09fL04E4sgc1K6QrOAAAAAA,no,1,,https://l.instagram.com,,https://www.helldog-s.com/body,33,1,,https://www.helldog-s.com/body (33 seconds),61.85.115.180,Korea Telecom,South Korea,Chungcheongnam-do,Cheonan,31132,412x869,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-G973N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 Instagram 160.0.0.25.132 Android (29/10; 420dpi; 1080x2168; samsung; SM-G973N; beyond1; exynos"
833,Sep 27 2020 03:07:55 PM,X3AsOzzpQXX7EM431cJjKwAAAAQ,no,1,,Direct Access,,https://www.helldog-s.com/map,2,1,,https://www.helldog-s.com/map (2 seconds),2001:e60:3038:2fad:8925:a95e:1ba3:c2c2,Korea Telecom,South Korea,Seoul,Gangdong-gu,5292,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1"
832,Sep 27 2020 01:51:15 PM,X3AaQ3XY7uajFuG0tyQ2tAAAAAM,no,1,,https://www.google.com,,https://www.helldog-s.com/profile-1/gusxo80/forum-comments,6,2,,https://www.helldog-s.com/profile-1/gusxo80/forum-comments (2 seconds) > https://www.helldog-s.com/profile-1/gusxo80/forum-comments (5 seconds),2604:2000:14c6:c9a4:18a4:000,Spectrum,United States,New York,New York,10012,1792x1120,Chrome,Mac OS X,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
831,Sep 27 2020 12:56:59 PM,X3ANjJl1nl5vh6MWuF@xHAAAAAA,no,1,,https://ad.search.naver.com/search.naver?where=ad&sm=svc_nrs&query=애견스튜디오&referenceId=U3s6klp0YidssnTeaCVssssssyG-144026&pagingIndex=2,애견스튜디오,https://www.helldog-s.com/dog,138,4,,https://www.helldog-s.com/dog (19 seconds) > https://www.helldog-s.com/dog (77 seconds) > https://www.helldog-s.com/withyou (25 seconds) > https://www.helldog-s.com/cat (18 seconds),49.163.179.217,Lg Powercomm,South Korea,Seoul,Gangdong-gu,5292,3200x1800,Chrome,Mac OS X,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
830,Sep 27 2020 07:23:26 AM,X2@-X82Ub9wv0gEh-yt52QAAAAM,no,1,,https://m.ad.search.naver.com/search.naver?where=m_expd&query=사진배우기&referenceId=U2++swprvjZssiJ4KtZssssssx4-003123,사진배우기,https://www.helldog-s.com/lesson-photo,300,4,,https://www.helldog-s.com/lesson-photo (99 seconds) > https://www.helldog-s.com/contact (18 seconds) > https://www.helldog-s.com/review-board (164 seconds) > https://www.helldog-s.com/wedding (19 seconds),2001:2d8:6f80:1d07:864a:bdd2:eb74:e29e,SK Telecom,South Korea,Seoul,Seodaemun-gu,3660,412x869,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-N976N) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/12.1 Chrome/79.0.3945.136 Mobile Safari/537.36"
829,Sep 27 2020 12:18:50 AM,X29b2ZqkYXRcRlxmQ2CV1gAAAAI,no,1,,https://ad.search.naver.com/search.naver?where=ad&query=주니어스튜디오&x=0&y=0,주니어스튜디오,https://www.helldog-s.com/kids,13,1,,https://www.helldog-s.com/kids (13 seconds),180.226.192.173,Lg Powercomm,South Korea,Seoul,Seoul,2878,1920x1080,Edge,Windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36 Edg/85.0.564.63"
828,Sep 27 2020 12:07:27 AM,X29ZMN454VKfplGx5KLD7QAAAAA,no,1,,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&query=포토샵+레슨&oquery=개인레슨&tqi=U29hesp0JXVssfkXHnsssssst2d-362621,포토샵 레슨,https://www.helldog-s.com/lesson-photo,64,3,,https://www.helldog-s.com/lesson-photo (42 seconds) > https://www.helldog-s.com/withyou (9 seconds) > https://www.helldog-s.com/contact (14 seconds),125.247.242.21,Lg Powercomm,South Korea,Seoul,Gwanak-gu,8841,1536x864,Chrome,Windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36"
827,Sep 26 2020 11:40:31 PM,X23xEUK6MeC0bsYG4CpLOgAAAAA,yes,2,,Direct Access,,https://www.helldog-s.com/lesson-photo,2,1,,https://www.helldog-s.com/lesson-photo (2 seconds),14.6.114.56,Lg Powercomm,South Korea,Gyeonggi-do,Siheung-si,14971,384x854,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-N981N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 NAVER(inapp; blog; 100; 6.1.6)"
826,Sep 26 2020 08:10:08 PM,X28hj1gyopJJVwzDlMx02gAAAAE,no,1,,Direct Access,,https://www.helldog-s.com,13,2,,https://www.helldog-s.com (11 seconds) > https://www.helldog-s.com/ceo?lightbox=dataItem-j9frjjxc (2 seconds),183.99.22.56,Korea Telecom,South Korea,Gyeonggi-do,Seongnam-si,13332,412x846,Chrome,Android,"Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-G965N) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/12.1 Chrome/79.0.3945.136 Mobile Safari/537.36"
825,Sep 26 2020 07:11:24 PM,X28Ty9PALzqXdWCMKKjDWgAAAAA,no,1,,Direct Access,,https://www.helldog-s.com,31,2,,https://www.helldog-s.com (6 seconds) > https://www.helldog-s.com/lookbook (26 seconds),211.200.84.115,SK Broadband,South Korea,Seoul,Seoul,2878,414x736,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 KAKAOTALK 9.0.4"
824,Sep 26 2020 04:35:27 PM,X26XjqNr-L@bFzGDlInoCQAAAAA,yes,2,,Direct Access,,https://www.helldog-s.com/body,38,2,,https://www.helldog-s.com/body (26 seconds) > https://www.helldog-s.com/seminude (13 seconds),211.36.133.202,LG Uplus,South Korea,Seoul,Seoul,2878,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 KAKAOTALK 9.0.4"
823,Sep 26 2020 02:31:45 PM,X27SQeKnr3@NJ8oIRKW9lgAAAAE,no,1,,https://search.naver.com/search.naver?sm=top_hty&fbm=1&ie=utf8&query=헬독스튜디오,헬독스튜디오,https://www.helldog-s.com,168,9,,https://www.helldog-s.com (8 seconds) > https://www.helldog-s.com/good-omen (5 seconds) > https://www.helldog-s.com/artwork-dark (5 seconds) > https://www.helldog-s.com/artwork-creative-h-and-m (19 seconds) > https://www.helldog-s.com/ceo (18 seconds) > https://www.helldog-s.com/model-and-actor (51 seconds) > https://www.helldog-s.com/product (25 seconds) > https://www.helldog-s.com (13 seconds) > https://www.helldog-s.com/portrait-strong (26 seconds),175.209.23.16,Korea Telecom,South Korea,Seoul,Seoul,2878,2560x1440,Chrome,Mac OS X,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
822,Sep 26 2020 02:05:07 PM,X27MA5dbn9GVVpNMMT4@bgAAAAQ,no,1,,linkedin.android,,https://www.helldog-s.com,33,1,,https://www.helldog-s.com (33 seconds),211.218.44.251,Korea Telecom,South Korea,Seoul,Seoul,2878,412x846,Chrome,Android,"Mozilla/5.0 (Linux; Android 9; SM-N950N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Mobile Safari/537.36"
821,Sep 26 2020 01:57:49 PM,X24QFjHC2ExOBz5LjH9axgAAAAM,yes,2,,https://l.instagram.com,,https://www.helldog-s.com/grapher,42,3,,https://www.helldog-s.com/grapher (8 seconds) > https://www.helldog-s.com/grapher (8 seconds) > https://www.helldog-s.com/dog (26 seconds),2001:4430:c013:3d64::aac:ca16,LG Uplus,South Korea,Daegu,Daegu,41934,412x869,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-N971N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 Instagram 160.0.0.25.132 Android (29/10; 420dpi; 1080x2064; samsung; SM-N971N; d1x; exynos9825"
820,Sep 26 2020 01:47:43 PM,X27H8Os-GJdCQrXkJXcp4wAAAAA,no,1,,https://www.linkedin.com,,https://www.helldog-s.com,51,1,,https://www.helldog-s.com (51 seconds),218.159.224.230,Korea Telecom,South Korea,Seoul,Yangcheon-gu,8070,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]"
819,Sep 26 2020 11:52:28 AM,X26s7GBmhIgJEzGGyyUoxQAAAAE,no,1,,https://l.instagram.com,,https://www.helldog-s.com/grapher,151,5,,https://www.helldog-s.com/grapher (33 seconds) > https://www.helldog-s.com/artwork-dark (20 seconds) > https://www.helldog-s.com/musician (19 seconds) > https://www.helldog-s.com/model-and-actor (18 seconds) > https://www.helldog-s.com/dog (61 seconds),2001:4430:506f:8039::516:b1,LG Uplus,South Korea,Seoul,Gangnam-gu,6333,412x846,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-N960N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.101 Mobile Safari/537.36 Instagram 160.0.0.25.132 Android (29/10; 420dpi; 1080x2094; samsung; SM-N960N; crownlteks; sam"
818,Sep 26 2020 10:37:03 AM,X24Vq@WtI@xnpmTU4nL9tAAAAAI,no,2,,Direct Access,,https://www.helldog-s.com/body,32,2,,https://www.helldog-s.com/body (13 seconds) > https://www.helldog-s.com/person (19 seconds),211.58.73.237,SK Broadband,South Korea,Seoul,Dongjak-gu,6970,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 KAKAOTALK 9.0.4"
817,Sep 26 2020 10:21:18 AM,X26XjqNr-L@bFzGDlInoCQAAAAA,no,1,,Direct Access,,https://www.helldog-s.com/seminude,43,3,,https://www.helldog-s.com/seminude (26 seconds) > https://www.helldog-s.com/body (13 seconds) > https://www.helldog-s.com/seminude (5 seconds),211.36.133.202,LG Uplus,South Korea,Seoul,Seoul,2878,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 KAKAOTALK 9.0.4"
816,Sep 26 2020 09:59:38 AM,X26SeZkscpIjRtznJ@J4QQAAAAE,no,1,,Direct Access,,https://www.helldog-s.com/grapher,28,4,,https://www.helldog-s.com/grapher (5 seconds) > https://www.helldog-s.com/contact (1 seconds) > https://www.helldog-s.com/grapher (5 seconds) > https://www.helldog-s.com/model (18 seconds),211.36.132.37,LG Uplus,South Korea,Seoul,Seoul,2878,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 160.1.0.31.120 (iPhone12,3; iOS 13_6; ko-Kore_KR; ko-KR; scale=3.00; 1125x2436; 246979827)"
815,Sep 26 2020 09:57:25 AM,X26R9sbPPBACuXhMF7m9dwAAAAA,no,1,,Direct Access,,https://www.helldog-s.com/contact,22,2,,https://www.helldog-s.com/contact (14 seconds) > https://www.helldog-s.com/withyou (8 seconds),125.131.205.58,Korea Telecom,South Korea,Seoul,Seoul,2878,1920x1080,MSIE,Windows,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko
814,Sep 26 2020 07:49:24 AM,X25z8xjY0J1IBj4mJ5QsPgAAAAA,no,1,,https://www.linkedin.com,,https://www.helldog-s.com,26,1,,https://www.helldog-s.com (26 seconds),110.70.47.170,Korea Telecom,South Korea,Seoul,Seoul,2878,375x667,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]"
813,Sep 26 2020 03:58:42 AM,X24ufCvoLahYrllpHv1WewAAAAM,yes,2,,Direct Access,,https://www.helldog-s.com/dog,3,1,,https://www.helldog-s.com/dog (3 seconds),221.139.130.53,SK Broadband,South Korea,Gyeonggi-do,Gwacheon-si,13832,360x740,Chrome,Android,"Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-G950N) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/12.1 Chrome/79.0.3945.136 Mobile Safari/537.36"
